,BFT.WA
2022-01-02,
2022-01-02,625.2584228515625
2022-01-03,
2022-01-03,
2022-01-03,
2022-01-03,
2022-01-03,629.166259765625
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,629.166259765625
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,630.1432495117188
2022-01-07,
2022-01-07,
2022-01-09,
2022-01-09,
2022-01-09,626.2353515625
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,636.9819946289062
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,632.09716796875
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,614.5117797851562
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,614.5117797851562
2022-01-14,
2022-01-14,
2022-01-16,
2022-01-16,
2022-01-16,
2022-01-16,613.5347900390625
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,609.626953125
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,605.7190551757812
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,577.3870849609375
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,596.9263916015625
2022-01-21,
2022-01-21,
2022-01-23,
2022-01-23,
2022-01-23,
2022-01-23,591.0645751953125
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,595.9494018554688
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,600.834228515625
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,592.0415649414062
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,593.0184936523438
2022-01-28,
2022-01-28,
2022-01-30,
2022-01-30,
2022-01-30,
2022-01-30,594.9724731445312
2022-01-31,
2022-01-31,
2022-01-31,
2022-01-31,
2022-01-31,624.2814331054688
2022-02-01,
2022-02-01,
2022-02-01,
2022-02-01,
2022-02-01,623.3045043945312
2022-02-02,
2022-02-02,
2022-02-02,
2022-02-02,
2022-02-02,623.3045043945312
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,625.2584228515625
2022-02-04,
2022-02-04,
2022-02-06,
2022-02-06,
2022-02-06,627.2123413085938
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,639.9129028320312
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,659.4522094726562
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,659.4522094726562
2022-02-10,
2022-02-10,
2022-02-10,
2022-02-10,
2022-02-10,653.5904541015625
2022-02-11,
2022-02-11,
2022-02-13,
2022-02-13,
2022-02-13,
2022-02-13,666.291015625
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,682.8994140625
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,627.2123413085938
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,633.0741577148438
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,623.3045043945312
2022-02-18,
2022-02-18,
2022-02-20,
2022-02-20,
2022-02-20,
2022-02-20,620.3735961914062
2022-02-21,
2022-02-21,
2022-02-21,
2022-02-21,
2022-02-21,625.2584228515625
2022-02-22,
2022-02-22,
2022-02-22,
2022-02-22,
2022-02-22,604.7421264648438
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,544.1702270507812
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,555.893798828125
2022-02-25,
2022-02-25,
2022-02-27,
2022-02-27,
2022-02-27,
2022-02-27,559.8016967773438
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,544.1702270507812
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,537.3314208984375
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,590.087646484375
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,537.3314208984375
2022-03-04,
2022-03-04,
2022-03-06,
2022-03-06,
2022-03-06,
2022-03-06,515.8381958007812
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,502.16064453125
2022-03-08,
2022-03-08,
2022-03-08,
2022-03-08,
