Ticker,shortName,country,currency,industry,firstTradeDateEpochUtc,sector,previousClose,marketCap,impliedSharesOutstanding,beginningUSDExchangeRate,2022-01-04,beginningCloseUSD,beginningMarketCapUSD
0973.HK,L'OCCITANE,Luxembourg,HKD,Household & Personal Products,1273195800,Consumer Defensive,31.95,46962221056.0,1469866073.74,7.81532,31.003921508789062,3.967069999537967,5831061604.472615
1112.HK,H&H INTL HLDG,Hong Kong,HKD,Packaged Foods,1292549400,Consumer Defensive,10.9,6946236928.0,637269442.94,7.81532,10.455403327941895,1.3378087305371877,852544624.4697022
1346.HK,LEVER STYLE,Hong Kong,HKD,Apparel Manufacturing,1573608600,Consumer Cyclical,0.93,587972032.0,632227991.4,7.81532,0.3054283559322357,0.03908072298155875,24707926.993090708
1H2.SI,$ Olive Tree,Singapore,SGD,Real Estate - Diversified,946861200,Real Estate,0.084,9730980.0,115845000.0,1.326405,0.10999999940395355,0.08293092939483306,9607133.515744435
2897.TW,O-BANK CO LTD,Taiwan,TWD,Banks - Regional,1199062800,Financial Services,10.6,29441341440.0,2777485041.51,30.894018,7.403813362121582,0.23965200519147695,665629859.5872041
6088.T,SIGMAXYZ HOLDINGS INC,Japan,JPY,Specialty Business Services,1387324800,Industrials,1439.0,61261766656.0,42572457.72,142.156502,1166.818603515625,8.207986177907115,349434144.525295
ABB.AX,AUSSIEBAND FPO [ABB],Australia,AUD,Telecom Services,1602802800,Communication Services,3.66,1069775168.0,292288297.27,1.478066,4.599999904632568,3.1121748992484557,909652302.1077648
AEF.AX,A ETHICAL FPO [AEF],Australia,AUD,Asset Management,1039993200,Financial Services,4.56,519925024.0,114018645.61,1.478066,13.17714786529541,8.915128191363179,1016490841.8187585
ALQP.PA,QUADPACK,Spain,EUR,Packaging & Containers,1461135600,Consumer Cyclical,14.8,65398200.0,4418797.3,0.91396,23.799999237060547,26.040526102959152,115067806.43433543
AMAL,Amalgamated Financial Corp.,United States,USD,Banks - Regional,1533821400,Financial Services,25.79,782940608.0,30358301.98,1.0,16.207984924316406,16.207984924316406,492046900.8196849
ARZZ3.SA,AREZZO CO   ON      NM,Brazil,BRL,Footwear & Accessories,1296648000,Consumer Cyclical,49.09,5517941248.0,112404588.47,4.923979,66.43682098388672,13.492506971269925,1516619693.534202
BFT.WA,BENEFIT,Poland,PLN,Leisure,1303801200,Consumer Cyclical,2720.0,8298003456.0,3050736.56,3.991717,629.166259765625,157.61795231616495,480850849.6432611
BIO.AX,BIOME AUST FPO [BIO],Australia,AUD,Packaged Foods,1638226800,Consumer Defensive,0.31,61720120.0,199097161.29,1.478066,0.11999999731779099,0.08118717115324416,16164135.309776286
BIRD,"Allbirds, Inc.",United States,USD,Apparel Retail,1635946200,Consumer Cyclical,0.7319,112252992.0,153372034.43,1.0,15.59000015258789,15.59000015258789,2391070040.166415
