,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,LMND_MktCap_USD,SOMA3.SA_MktCap_USD,ARZZ3.SA_MktCap_USD,MME.AX_MktCap_USD,AEF.AX_MktCap_USD,CONCHATORO.SN_MktCap_USD,MOVI3.SA_MktCap_USD,FREY.PA_MktCap_USD,LFG.AX_MktCap_USD,ABB.AX_MktCap_USD,1112.HK_MktCap_USD,VITL_MktCap_USD,2897.TW_MktCap_USD,KMD.NZ_MktCap_USD,SML.NZ_MktCap_USD,AMAL_MktCap_USD,BFT.WA_MktCap_USD,IBAB.BR_MktCap_USD,Index
2022-01-04,5500358628.37283,5856289900.717389,2677263066.4065595,1575541767.8509293,1312226153.5218122,1309996773.8399477,1129857846.498655,1044588166.4213151,864132376.5901295,985190735.3684802,985891844.0978763,954280267.0788683,849614388.3110448,778778111.474439,719416959.6229755,627344833.8832197,542333837.3601997,489706003.68996215,461636482.32774866,466321900.1046265,29.130770043539005
2022-01-05,5217096689.028981,5836940449.062955,2523610395.715705,1417347364.5345666,1242233451.7978,1294218885.5290186,1058936209.8600742,1082811245.9336357,800956049.5259544,987812254.4826666,979731256.4370811,871072473.0987711,887687595.0806372,752647467.0655608,720005754.7346961,621416226.1563649,539240514.3608242,490570717.5804173,461636482.32774866,468187838.39381546,28.25415932070727
2022-01-06,5181340024.828027,5933337567.455848,2423461747.2889104,1467328561.6371677,1270569577.3537114,1265469257.5035317,1040556074.0752449,1097468961.047177,801642402.5605447,986368249.2981702,971851195.9869639,915376718.0439401,868661962.8971443,783490216.3233172,720549164.0618817,616596821.7356668,531983379.640822,504405736.429017,463858989.0554231,460013402.5697727,28.30433000979228
2022-01-07,5056323496.8886795,5933337567.455848,2547618543.7395296,1445434748.4070795,1271228432.5431645,1265469257.5035317,1040556074.0752449,1101582915.4237595,792823738.7358989,986368249.2981702,971851195.9869639,915376718.0439401,868661962.8971443,792914344.3158293,720549164.0618817,616596821.7356668,531983379.640822,503829337.33989125,463858989.0554231,460013402.5697727,28.286378339718247
2022-01-09,5056323496.8886795,6136540467.520113,2547618543.7395296,1445434748.4070795,1271228432.5431645,1243628668.9007747,1018860875.9965967,1101582915.4237595,792823738.7358989,985278741.0645931,982750998.9778571,911133751.8437103,884523122.198033,792914344.3158293,723409432.3936701,603171281.0522945,530021885.53897876,503829337.33989125,464282901.9744936,461052611.22426575,28.456410296079213
2022-01-10,4922362565.981307,6074907010.80507,2462560880.738675,1405489221.4666233,1215657311.6762438,1274606664.0980854,991950330.1836,1104307945.366692,773363882.8959475,989379316.754722,975933561.7030694,921668221.875396,900444017.248426,811762682.0060977,746006042.2141976,585863642.4731772,533944648.8300654,492876602.0788366,471641741.4880426,463921974.48579735,28.118648264370073
2022-01-11,5322669662.845794,6147333238.667778,2674519464.9675426,1469661127.0158513,1270760822.3425825,1255065101.913442,918968519.7880725,1094263654.7310033,797596440.5928375,992416720.0961039,974478881.123383,935659968.2416795,948462870.9258127,820330048.806951,745570884.4965397,599541545.3241729,547477729.0408062,494894229.4043098,469943922.3108005,457810260.9955264,28.937425093630985
2022-01-12,5353611673.24068,5976730238.091726,2604552525.72344,1554542111.8174117,1318453520.2045035,1280179240.987501,917395097.7725723,1102336637.516266,821480210.0155988,998884819.5285375,991513102.1410842,961807683.8575342,924893400.6373018,794199486.1033173,821514094.4961267,592818985.8595186,551214195.3357155,484806035.1485606,461072162.13990253,463322408.1540211,28.975327628771325
2022-01-13,5087130755.342083,5824022063.085081,2440610499.2114105,1549352596.3408167,1314620496.3607464,1273578057.7494268,899576167.5819248,1125858159.6848679,817715798.7960379,1000259152.4085035,987620788.5583333,949001424.0434384,933854805.6875091,793342724.9116585,810181524.933533,585741466.7681473,546154179.8294019,492300145.3613276,460280276.98903716,459529171.8813116,28.3507302555246
2022-01-14,5076312915.159214,5824022063.085081,2415916254.57594,1554484816.046643,1306883699.4225607,1273578057.7494268,899576167.5819248,1101759798.335501,828536440.9400383,1000259152.4085035,987620788.5583333,949001424.0434384,933854805.6875091,787773858.8711218,810181524.933533,585741466.7681473,546154179.8294019,496911856.729783,460280276.98903716,459529171.8813116,28.29837871959645
2022-01-16,5076312915.159214,5680350531.157165,2415916254.57594,1554484816.046643,1306883699.4225607,1237830801.9362202,920705014.3353761,1101759798.335501,828536440.9400383,996257704.925768,966542235.8056086,953125085.8173925,924398085.9698969,787773858.8711218,779182899.2242695,585348913.2178394,543470135.857411,496911856.729783,457927338.8804563,462103848.1754779,28.075822235383683
2022-01-17,4959359963.807136,5593581850.281347,2415916254.57594,1536946803.9244204,1304119540.4219725,1230737259.8674107,900977115.3386177,1093870043.0607717,841251884.5040555,1002301365.07442,978259015.3112864,954467291.2155223,935019673.3534582,787773858.8711218,807755229.2819383,600818300.253125,542444254.367994,496911856.729783,456220583.4183098,451389124.7326324,27.890121268391255
2022-01-18,4685710446.128043,5610227920.081394,2254717829.5029273,1484149291.683824,1276965913.0088344,1183865270.7651687,912117222.3889964,1116173015.6369994,819619686.6376117,989276185.7635636,969813255.5471858,951416502.8838464,893670561.194497,751790705.8739022,789730203.5135198,594567412.3068898,538984109.6800185,493741258.3409085,449171560.31458855,448849364.8886359,27.214557716141353
2022-01-19,4945718029.478413,5711644989.275024,2144279956.0895512,1583408353.0625734,1375728380.8770368,1169906457.248561,897382051.2623507,1135438304.7426057,838384190.0458322,990398329.3621135,978849781.6929958,946774921.0232664,920699687.289496,751362406.9833173,787915724.714633,591210260.737793,535049492.46858644,475006155.69414073,429732335.4656342,477560904.11997014,27.686450711633892
