,0973.HK,NTCO3.SA,BFT.WA,COUR,WRBY,COCO,ARZZ3.SA,LMND,SOMA3.SA,VITL,FREY.PA,CONCHATORO.SN,1112.HK,2897.TW,AMAL,MOVI3.SA,6088.T,IBAB.BR,KMD.NZ,CLSA3.SA,INCLU.BR,BIRD,CVT.NZ,SML.NZ,ALQP.PA,1346.HK,HLZ.MC,ZVIA,GROV,CWEB.TO,0973.HK_currency,0973.HK_SO,NTCO3.SA_currency,NTCO3.SA_SO,BFT.WA_currency,BFT.WA_SO,COUR_currency,COUR_SO,WRBY_currency,WRBY_SO,COCO_currency,COCO_SO,ARZZ3.SA_currency,ARZZ3.SA_SO,LMND_currency,LMND_SO,SOMA3.SA_currency,SOMA3.SA_SO,VITL_currency,VITL_SO,FREY.PA_currency,FREY.PA_SO,CONCHATORO.SN_currency,CONCHATORO.SN_SO,1112.HK_currency,1112.HK_SO,2897.TW_currency,2897.TW_SO,AMAL_currency,AMAL_SO,MOVI3.SA_currency,MOVI3.SA_SO,6088.T_currency,6088.T_SO,IBAB.BR_currency,IBAB.BR_SO,KMD.NZ_currency,KMD.NZ_SO,CLSA3.SA_currency,CLSA3.SA_SO,INCLU.BR_currency,INCLU.BR_SO,BIRD_currency,BIRD_SO,CVT.NZ_currency,CVT.NZ_SO,SML.NZ_currency,SML.NZ_SO,ALQP.PA_currency,ALQP.PA_SO,1346.HK_currency,1346.HK_SO,HLZ.MC_currency,HLZ.MC_SO,ZVIA_currency,ZVIA_SO,GROV_currency,GROV_SO,CWEB.TO_currency,CWEB.TO_SO
2022-01-02,31.536800384521484,,625.2584228515625,,,,,,,,28.810972213745117,,10.434152603149414,7.413090705871582,,,,14.870898246765137,,,17.349735260009766,,,,23.799999237060547,0.32556650042533875,12.5,,,,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-03,31.100807189941406,23.801387786865234,629.166259765625,25.540000915527344,45.63999938964844,11.630000114440918,68.45552062988281,42.27000045776367,11.658185958862305,18.309999465942383,29.694746017456055,1208.54150390625,10.558157920837402,7.403813362121582,16.169904708862305,13.780938148498535,1236.89501953125,14.637018203735352,,8.699999809265137,17.18344497680664,16.219999313354492,,,23.799999237060547,0.32556650042533875,12.649999618530273,7.480000019073486,,,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-04,31.003921508789062,22.26670265197754,629.166259765625,25.0,44.08000183105469,12.0,66.43681335449219,39.029998779296875,11.305203437805176,18.18000030517578,29.16448211669922,1203.6343994140625,10.629016876220703,7.403813362121582,16.284923553466797,13.564058303833008,1166.8187255859375,14.578547477722168,1.3379650115966797,8.970000267028809,17.51602554321289,15.59000015258789,3.537917375564575,3.490000009536743,23.799999237060547,0.32556650042533875,12.800000190734863,7.349999904632568,,1.3600000143051147,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-05,30.907033920288086,21.23745346069336,,24.010000228881836,41.65999984741211,11.489999771118164,63.2429313659668,36.790000915527344,10.22665023803711,17.56999969482422,29.16448211669922,1234.55859375,11.10732364654541,7.431647300720215,16.31368064880371,12.642315864562988,1099.6221923828125,14.598037719726562,1.3291043043136597,8.600000381469727,17.275827407836914,13.569999694824219,3.499565839767456,3.4800000190734863,23.799999237060547,0.31752780079841614,12.600000381469727,7.329999923706055,,1.2799999713897705,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-06,31.43991470336914,20.99852180480957,630.1432495117188,23.40999984741211,42.38999938964844,10.960000038146973,64.399169921875,35.33000183105469,10.540410995483398,18.290000915527344,29.16448211669922,1249.927978515625,10.87702751159668,7.440925121307373,16.773759841918945,12.597131729125977,1095.3023681640625,14.364157676696777,1.3291043043136597,8.890000343322754,17.349735260009766,15.229999542236328,3.528329372406006,3.4600000381469727,23.799999237060547,0.31752780079841614,12.5,6.920000076293945,,1.2699999809265137,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-07,,20.3184814453125,,23.219999313354492,39.709999084472656,10.90999984741211,63.88739776611328,37.13999938964844,10.29528522491455,18.510000228881836,,1240.66943359375,,,16.754589080810547,12.353142738342285,,,,9.0,,13.9399995803833,,,,,,6.929999828338623,,1.309999942779541,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-09,32.505672454833984,,626.2353515625,,,,,,,,28.98772621154785,,11.071892738342285,7.478037357330322,,,,14.325177192687988,1.2936614751815796,,17.220396041870117,,3.537917375564575,3.430000066757202,23.799999237060547,0.31752780079841614,12.800000190734863,,,,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-10,32.166568756103516,19.87737274169922,636.9819946289062,23.209999084472656,37.33000183105469,10.479999542236328,61.39482498168945,35.900001525878906,10.059965133666992,18.950000762939453,29.16448211669922,1254.6500244140625,11.26675796508789,7.700708389282227,16.39035987854004,12.109149932861328,1060.744140625,14.442117691040039,1.2582186460494995,8.960000038146973,17.201921463012695,14.210000038146973,3.4803903102874756,3.4600000381469727,24.0,0.31752780079841614,12.550000190734863,6.659999847412109,,1.309999942779541,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-11,32.554115295410156,21.13636589050293,632.09716796875,24.170000076293945,38.7599983215332,10.880000114440918,63.110233306884766,38.9900016784668,10.344310760498047,19.149999618530273,29.16448211669922,1232.33642578125,11.86906909942627,7.709986686706543,16.457454681396484,12.28084945678711,1134.6602783203125,14.208237648010254,1.2848008871078491,9.25,17.05410385131836,14.220000267028809,3.537917375564575,3.5399999618530273,23.799999237060547,0.32154715061187744,12.600000381469727,7.130000114440918,,1.309999942779541,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-12,31.633689880371094,21.12717628479004,614.5117797851562,23.34000015258789,37.099998474121094,10.489999771118164,65.07207489013672,37.970001220703125,10.87378215789795,18.540000915527344,29.16448211669922,1234.188232421875,11.567914009094238,8.480056762695312,16.121980667114258,12.570022583007812,1083.782958984375,14.286197662353516,1.2582186460494995,9.4399995803833,17.423643112182617,13.84000015258789,3.5187416076660156,3.5299999713897705,23.799999237060547,0.32154715061187744,12.649999618530273,7.460000038146973,,1.3600000143051147,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
