Ticker,shortName,longName,country,currency,previousClose,sharesOutstanding,impliedSharesOutstanding,marketCap,industry,sector,website
0973.HK,L'OCCITANE,L'Occitane International S.A.,Luxembourg,HKD,32.25,1472169984,1472169984,47477481472,Household & Personal Products,Consumer Defensive,https://group.loccitane.com
1112.HK,H&H INTL HLDG,Health and Happiness (H&H) International Holdings Limited,Hong Kong,HKD,10.48,645561024,645561024,6920414208,Packaged Foods,Consumer Defensive,https://www.hh.global
1346.HK,LEVER STYLE,Lever Style Corporation,Hong Kong,HKD,0.86,639100032,661393984,549626048,Apparel Manufacturing,Consumer Cyclical,https://www.leverstyle.com
1H2.SI,$ Olive Tree,Olive Tree Estates Limited,Singapore,SGD,0.08,115845000,115845000,9267600,Real Estate - Diversified,Real Estate,https://www.olivetreeestates.com
2897.TW,O-BANK CO LTD,"O-Bank Co., Ltd.",Taiwan,TWD,10.1,2716470016,2729920000,27572168704,Banks - Regional,Financial Services,https://www.o-bank.com
6088.T,SIGMAXYZ HOLDINGS INC,SIGMAXYZ Holdings Inc.,Japan,JPY,1545.0,42191300,43137600,61219577856,Specialty Business Services,Industrials,https://www.sigmaxyz.com
ABB.AX,AUSSIEBAND FPO [ABB],Aussie Broadband Limited,Australia,AUD,3.82,295184992,295184992,1115799296,Telecom Services,Communication Services,https://www.aussiebroadband.com.au
AEF.AX,A ETHICAL FPO [AEF],Australian Ethical Investment Limited,Australia,AUD,4.49,112782000,116062000,527819744,Asset Management,Financial Services,https://www.australianethical.com.au
ALQP.PA,QUADPACK,"Quadpack Industries, S.A.",Spain,EUR,14.1,4359880,4382130,61474308,Packaging & Containers,Consumer Cyclical,https://www.quadpack.com
AMAL,Amalgamated Financial Corp.,Amalgamated Financial Corp.,United States,USD,25.69,30524000,30524000,772562432,Banks - Regional,Financial Services,https://www.amalgamatedbank.com
ARZZ3.SA,AREZZO CO   ON      NM,Arezzo Indústria e Comércio S.A.,Brazil,BRL,49.75,110958000,110958000,5464681472,Footwear & Accessories,Consumer Cyclical,https://ri.arezzoco.com.br
BFT.WA,BENEFIT,Benefit Systems S.A.,Poland,PLN,2830.0,2933540,2985010,8213912064,Leisure,Consumer Cyclical,https://www.benefitsystems.pl
BIO.AX,BIOME AUST FPO [BIO],Biome Australia Limited,Australia,AUD,0.315,212828000,212828000,65976680,Packaged Foods,Consumer Defensive,https://www.biomeaustralia.com
BIRD,"Allbirds, Inc.","Allbirds, Inc.",United States,USD,0.5964,103291000,155838000,90183448,Apparel Retail,Consumer Cyclical,https://www.allbirds.com
CLSA3.SA,CLEARSALE   ON      NM,ClearSale S.A.,Brazil,BRL,7.88,187926000,187926000,1463943552,Software - Infrastructure,Technology,https://www.clearsale.com.br
COCO,"The Vita Coco Company, Inc.","The Vita Coco Company, Inc.",United States,USD,26.59,56684000,56684000,1526500096,Beverages - Non-Alcoholic,Consumer Defensive,https://thevitacococompany.com
CONCHATORO.SN,VINA CONCHA Y TORO,Viña Concha y Toro S.A.,Chile,CLP,1266.0,739009984,748364032,938542694400,Beverages - Wineries & Distilleries,Consumer Defensive,https://www.vinacyt.com
COUR,"Coursera, Inc.","Coursera, Inc.",United States,USD,9.14,156112000,156112000,1402666240,Education & Training Services,Consumer Defensive,https://www.coursera.org
CVT.NZ,Comvita Limited Ordinary Shares,Comvita Limited,New Zealand,NZD,1.75,70225400,70225400,120085440,Packaged Foods,Consumer Defensive,https://www.comvita.co.nz
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,"Charlotte's Web Holdings, Inc.",United States,CAD,0.23,157228000,157228000,36162440,Drug Manufacturers - Specialty & Generic,Healthcare,https://www.charlottesweb.com
DOX.MI,DOXEE,Doxee S.p.A.,Italy,EUR,2.54,8597810,8597810,20978656,Software - Infrastructure,Technology,https://www.doxee.com
FLOW.TO,FLOW BEVERAGE CORP,Flow Beverage Corp.,Canada,CAD,0.15,65578300,71792800,10768920,Beverages - Non-Alcoholic,Consumer Defensive,https://flowhydration.com
FREY.PA,FREY,Frey SA,France,EUR,28.2,31743500,31663700,901515392,REIT - Retail,Real Estate,https://www.frey.fr
GFI.NZ,Greenfern Industries Limited Or,Greenfern Industries Limited,New Zealand,NZD,0.037,114235000,115015000,4370570,Drug Manufacturers - Specialty & Generic,Healthcare,https://gfi.nz
