Ticker,Company,longName,country,currency,Currency Pair,Exchange Rate,previousClose,previousCloseUSD,sharesOutstanding,impliedSharesOutstanding,marketCapHomeCurrency,marketCapUSD,marketCap USD TIKR,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website,shortName
PG,Procter & Gamble Company (The),The Procter & Gamble Company,United States,USD,, $1.00 ,161.66, $161.66 ,2353019904,2353019904,3.78954E+11," $378,953,859,072 ",,4.07314E+11,23719000064,6.41,5.97,0.50553,0.27419,0.28259,Household & Personal Products,Consumer Defensive,https://www.pginvestor.com,Procter & Gamble Company (The)
NESN.SW,NESTLE N,Nestlé S.A.,Switzerland,CHF,CHF/USD, $1.11 ,94.36, $104.28 ,2621309952,2621309952,2.48107E+11," $274,183,036,435 ",,2.97381E+11,18155999232,5.18,4.23,0.46087003,0.16742,0.19449,Packaged Foods,Consumer Defensive,https://www.nestle.com,NESTLE N
KO,Coca-Cola Company (The),The Coca-Cola Company,United States,USD,, $1.00 ,60.49, $60.49 ,4311190016,4312459776,2.61603E+11," $261,603,016,704 ",,2.9328E+11,14440999936,2.76,2.47,0.59523,0.22490999,0.31562,Beverages - Non-Alcoholic,Consumer Defensive,https://www.coca-colacompany.com,Coca-Cola Company (The)
UL,Unilever PLC,Unilever PLC,United Kingdom,USD,, $1.00 ,49.99, $49.99 ,2505319936,2530769920,1.25592E+11," $125,591,691,264 ",,1.51357E+11,11057999872,2.44,2.8,0.42237,0.16428,0.18552,Household & Personal Products,Consumer Defensive,https://www.unilever.com,Unilever PLC
BUD,Anheuser-Busch Inbev SA Sponsor,Anheuser-Busch InBev SA/NV,Belgium,USD,, $1.00 ,59.5, $59.50 ,1971020032,282105984,1.19174E+11," $119,174,135,808 ",,1.96808E+11,18211000320,3.93,2.6,0.53863,0.23126,0.30669,Beverages - Brewers,Consumer Defensive,https://www.ab-inbev.com,Anheuser-Busch Inbev SA Sponsor
DANOY,DANONE ADR-EA CNV INTO 1/5 EUR0,Danone S.A.,France,USD,, $1.00 ,12.92, $12.92 ,3209359872,3213829888,41522683904," $41,522,683,904 ",,18610984960,4384000000,,0.3,0.47373,0.13507,0.15873,Packaged Foods,Consumer Defensive,https://www.danone.com,DANONE ADR-EA CNV INTO 1/5 EUR0
CABK.MC,"CAIXABANK, S.A.","CaixaBank, S.A.",Spain,EUR,EUR/USD, $1.08 ,4.738, $5.13 ,7358040064,7372729856,35046346752," $37,909,633,282 "," $37,796,910,000 ",88191442944,,0.41,0.61,,0.52077,,Banks - Regional,Financial Services,https://www.caixabank.com,"CAIXABANK, S.A."
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,Fairfax Financial Holdings Limited,Canada,CAD,CAD/USD, $0.74 ,1504.46," $1,107.73 ",22142300,24038200,35830394880," $26,381,919,750 ",,45205565440,6411400192,209.02,233.49,0.4042,0.07374,0.2014,Insurance - Property & Casualty,Financial Services,https://www.fairfax.ca,FAIRFAX FINANCIAL HOLDINGS LTD.
KIK.F,KIKKOMAN CORP.,Kikkoman Corporation,Japan,EUR,EUR/USD, $1.08 ,61.5, $66.52 ,190294000,191850000,11607933952," $12,556,302,156 ",,-45593935872,88266997760,,1.68,0.34164003,0.115380004,0.13633999,Packaged Foods,Consumer Defensive,https://www.kikkoman.com,KIKKOMAN CORP.
4755.T,RAKUTEN GROUP INC,"Rakuten Group, Inc.",Japan,JPY,JPY/USD, $0.01 ,866.4, $5.73 ,2142140032,2158710016,1.89108E+12," $12,498,156,027 "," $12,483,780,000 ",1.7746E+12,1.44941E+11,-6.16,-182.81,0.107080005,0.0196,0.06998,Internet Retail,Consumer Cyclical,https://global.rakuten.com/corp,RAKUTEN GROUP INC
GPS,"Gap, Inc. (The)","The Gap, Inc.",United States,USD,, $1.00 ,28.08, $28.08 ,373512992,373512992,10503185408," $10,503,185,408 ",,14056230912,1132999936,1.57,1.34,0.47317,0.04537,0.0761,Apparel Retail,Consumer Cyclical,https://www.gapinc.com,"Gap, Inc. (The)"
0973.HK,L'OCCITANE,L'Occitane International S.A.,Luxembourg,HKD,HKD/USD, $0.13 ,31.5, $4.03 ,1472169984,1472169984,46888615936," $5,992,365,117 "," $6,001,600,000 ",47115563008,378692992,1.6,0.5,0.79602,0.080240004,0.16420999,Household & Personal Products,Consumer Defensive,https://group.loccitane.com,L'OCCITANE
NTCO3.SA,GRUPO NATURAON  ED  NM,Natura &Co Holding S.A.,Brazil,BRL,BRL/USD, $0.20 ,17.82, $3.57 ,1380850048,1380850048,24689598464," $4,945,326,572 ",,24137684992,1594105984,1.03,-1.44,0.63813,0.23122999,0.05962,Household & Personal Products,Consumer Defensive,https://www.naturaeco.com,GRUPO NATURAON  ED  NM
COUR,"Coursera, Inc.","Coursera, Inc.",United States,USD,, $1.00 ,13.95, $13.95 ,156946000,156946000,2194105088," $2,194,105,088 ",,1473926400,-141226000,0.29,-0.77,0.51888,-0.14069,-0.22214001,Education & Training Services,Consumer Defensive,https://www.coursera.org,"Coursera, Inc."
