Date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
1/3/21,3.67291,77.571739,101.322199,522.589916,1.803922,654.159793,84.320882,1.29673,1.8,1.64452,1.601236,2.029064,85.068975,1.602404,0.377011,1949.903803,1,1.328012,6.919072,5.1934,1.004953,3.07E-05,73.428794,10.858488,2.625732,19600,2.025707,1.27232,1971.000437,0.88314,0.025749,710.499696,6.532972,3422,613.418478,1,26.5,90.273855,21.42375,177.720142,6.07432,58.428098,132.069262,15.693621,15.000233,39.551926,0.816315,2.039199,0.730858,0.730805,3.285011,0.730858,5.899054,0.730858,51.710188,10044.45536,7.833558,210.250113,7.753075,24.230218,6.1794,72.994392,296.805018,14212.03544,3.21065,0.730858,73.09225,1468.230382,42105.0002,127.810235,0.730858,143.707888,0.708983,103.242033,109.740141,83.494249,4057.963895,402.999653,900.073104,1085.730262,0.30415,0.837447,423.529412,9341.029105,1519.505506,186.166851,164.274999,14.689965,2.95274,0.60489,1.344386,8.927095,17.269065,3839.999792,50.444144,1334.572353,2849.021444,8.024643,39.704601,15.396482,774.654714,19.849652,4.022497,74.892074,14.690035,381.2053,35.02231,8.553497,117.485775,1.389405,0.384969,1.004953,3.637889,3.573785,48.094978,160.992836,3.724834,6951.00086,3.64125,3.97713,96.249957,74.19075,995.914692,3.751702,8.002049,21.204306,55.249652,8.19741,1.32071,0.730858,10116.49813,583.000015,14.153984,20834.86335,8.793647,512.847403,14.745098,29.971502,11.38352,3.5,2.694503,2.27405,7.43717,6.795284,28.068998,2318.53703,28.475255,3674.075893,1,42.368496,10528.77318,9.987503,23080,108.64172,2.529731,537.031397,0.037229,0.000523,2.70255,0.697777,537.031397,98.050513,250.401494,14.654102,9001.193685,21.274796,322.000186
1/4/21,3.6732,77.199587,100.324981,522.58981,1.794159,654.159893,84.629106,1.303951,1.8,1.703286,1.590248,2.018164,84.766036,1.597307,0.377083,1946,1,1.316594,6.881835,5.296798,0.999528,3.13E-05,72.988909,10.753651,2.5808,19600,2.014831,1.27835,1969.999836,0.88129,0.025525,704.303175,6.461597,3449.5,610.14937,1,26.5,90.125018,21.376101,177.720055,6.07296,58.198486,132.194467,15.73836,14.999949,39.195264,0.816245,2.042102,0.736916,0.736914,3.29021,0.736916,5.86019,0.736916,51.750396,10019.99994,7.791492,208.935686,7.75327,24.234946,6.172198,72.737917,295.289648,13938.7,3.208919,0.736916,73.330062,1459.325631,42104.99977,127.419688,0.736916,142.386594,0.709012,103.130269,109.300615,83.227999,4044.999736,402.22494,900.065543,1086.694991,0.304102,0.83292,421.249055,9299.999715,1512.34442,186.914114,164.398454,14.593234,2.95274,0.60489,1.334978,8.859502,17.142102,3894.999557,50.296112,1327.39001,2848.871657,7.981364,39.403281,15.410292,772.999842,19.94495,4.006503,74.910177,14.59346,381.000437,34.98019,8.557495,116.785923,1.393265,0.38501,0.99952,3.645101,3.509852,48.010193,159.819944,3.720494,6913.682636,3.640984,3.975003,95.959623,74.510402,972.5,3.751308,8.047136,21.204664,55.298965,8.25063,1.32059,0.736916,10129.99966,583.497745,14.153981,20834.86335,8.745498,512.822036,14.604859,29.919968,11.322313,3.51,2.68701,2.27355,7.426502,6.758735,28.115957,2317.949719,28.430253,3678.266526,1,42.335838,10453.99994,9.987502,23080,108.495805,2.521817,533.354745,0.036815,0.000515,2.70255,0.69397,534.000252,97.549639,250.350426,14.7026,9001.202768,21.162959,322.000186
1/5/21,3.673203,77.249952,100.350084,522.589777,1.797108,655.514979,84.792597,1.288079,1.8,1.701624,1.594175,2.021502,84.906265,1.590713,0.377128,1946,1,1.320118,6.893207,5.285597,1.001174,2.95E-05,73.320102,10.894397,2.586766,19600,2.018079,1.267515,1970.000062,0.87823,0.02522,695.901138,6.456297,3444,612.824609,1,26.5,90.349791,21.255698,177.720101,6.048039,58.249545,132.265147,15.699501,15.000053,39.250324,0.813015,2.027201,0.733762,0.73375,3.298708,0.733762,5.870316,0.733762,51.675643,10225.00002,7.804313,209.363742,7.753002,24.254961,6.147497,72.349738,291.954014,13944,3.20377,0.733762,73.37505,1461.5,42105.00002,126.910284,0.733762,142.009683,0.709018,102.678985,109.400592,83.181099,4054.999971,401.150453,900.076721,1087.450505,0.30358,0.834325,422.044895,9300.000186,1513.734991,188.725119,166.024997,14.690217,2.95274,0.60489,4.436697,8.823988,17.248097,3839.99981,50.104494,1322.076847,2839.114133,7.994963,39.404461,15.403383,770.000029,19.904702,4.0175,74.901445,15.009651,381.492558,34.930324,8.46681,117.312489,1.37817,0.38501,1.001174,3.628496,3.527502,48.120283,160.479733,3.686691,6926.544186,3.640949,3.960204,95.60972,74.170098,970,3.751464,8.016037,21.204951,55.30203,8.1789,1.31741,0.733762,10118.00026,581.00017,14.153998,20834.86335,8.760576,512.842849,14.980138,29.930145,11.341066,3.5,2.680503,2.275098,7.391295,6.801673,27.969887,2321.772965,28.338998,3699.444109,1,42.39522,10449.00018,9.987505,23090,108.842515,2.501271,534.663287,0.036245,0.000513,2.70255,0.691032,534.509247,97.375021,250.425017,14.977502,9001.192482,21.212771,322.000186
1/6/21,3.6732,77.249691,100.449971,522.590027,1.79375,656.133017,84.903204,1.279591,1.8,1.702579,1.584143,2.017706,84.735222,1.58636,0.377016,1946,1,1.315384,6.87013,5.314399,0.999336,2.71E-05,72.995578,10.885617,2.572998,19600,2.014288,1.266585,1969.999936,0.87812,0.025242,696.492944,6.461703,3414.55,611.111111,1,26.5,90.250052,21.234042,177.720349,6.028803,58.199915,132.256705,15.698897,15.000131,39.249825,0.810403,2.02435,0.733864,0.733985,3.309846,0.733864,5.87499,0.733864,51.696248,10025.00002,7.789522,209.133175,7.75315,24.980293,6.1271,72.549448,290.808962,13958,3.186565,0.733864,73.375048,1462.5,42105.00025,126.510355,0.733864,141.95461,0.709015,103.029031,109.449615,83.077302,4055.000095,400.150021,900.067462,1087.950124,0.30338,0.832726,418.89473,9299.999795,1512.295015,188.36719,166.449589,14.690209,2.95274,0.60489,4.431199,8.804991,17.18774,3817.484777,49.978099,1316.571658,2849.495808,7.980512,39.350142,15.410061,769.9998,19.65827,4.010501,74.901482,15.050198,381.544655,34.950089,8.400399,116.793021,1.36895,0.385025,0.999255,3.628002,3.515055,48.110424,160.401494,3.669437,6874.017916,3.640995,3.947801,95.295018,74.126496,977.5,3.751631,8.033295,21.206202,55.274977,8.159802,1.317495,0.733864,10112.99979,583.000226,14.153985,20834.86335,8.743581,512.84285,15.050356,29.930045,11.319424,3.51,2.680503,2.265301,7.30366,6.78881,27.834983,2318.999752,28.249111,3692.421088,1,42.144951,10478.99964,9.987503,23092.5,107.669231,2.495727,531.302749,0.036649,0.00052,2.70255,0.690091,534.500812,97.374965,250.430447,15.05579,9001.194249,21.167394,322.000186
1/7/21,3.6732,77.19567,100.749868,522.590007,1.795428,649.939537,84.940201,1.287184,1.8,1.699053,1.596088,2.019602,84.816139,1.594465,0.377151,1945,1,1.325466,6.886624,5.410295,1.000253,2.54E-05,73.118517,11.016003,2.575425,19600,2.016174,1.268465,1970.999672,0.885201,0.025833,712.788329,6.478199,3489.99,611.690972,1,26.5,90.370301,21.371899,177.720101,6.063303,58.294926,132.23511,15.7022,14.999827,39.301691,0.815027,2.030099,0.736974,0.737005,3.309743,0.736974,5.865007,0.736974,51.710023,10055.99994,7.794416,209.329275,7.75325,24.260249,6.167499,73.351341,292.95982,13905.20374,3.18273,0.736974,73.453503,1461.5,42105.00024,126.579662,0.736974,142.852946,0.709017,103.795032,109.550333,83.077297,4055.000114,401.649386,900.059683,1094.070238,0.30338,0.833524,419.286921,9299.999774,1514.916857,188.04681,166.874973,15.050273,2.95274,0.60489,4.440143,8.812029,17.176164,3769.999958,50.225798,1327.830714,2837.545915,7.987318,39.410166,15.398714,775.000143,20.015098,4.04012,74.925018,15.049823,381.196439,35.010371,8.429697,116.990648,1.376541,0.385011,1.000253,3.624499,3.519936,48.230116,160.20406,3.68285,6844.540558,3.64125,3.959198,95.82502,74.630102,975,3.751885,8.066615,21.209132,55.30114,8.18987,1.32432,0.736974,10116.00022,585.000526,14.154024,20834.86335,8.752316,512.823946,15.050585,30.080047,11.330189,3.51,2.691501,2.260699,7.33475,6.796204,27.941797,2319.554987,28.278915,3695.884576,1,42.355149,10459.00011,9.987501,23079,107.988033,2.503207,535.309047,0.03679,0.000522,2.70255,0.6895,532.99995,97.674968,250.349763,15.446203,9001.197395,21.19513,322.000186
1/8/21,3.673042,77.203991,101.303989,522.790403,1.794999,653.750403,85.08319,1.287623,1.8,1.70397,1.596505,2.019068,84.753936,1.600465,0.376989,1955,1,1.324311,6.884994,5.418041,1.000024,2.46E-05,73.262128,10.995127,2.564507,19600,2.015722,1.270375,1970.000362,0.885523,0.025807,712.103912,6.475404,3468.9,613.899614,1,26.5,90.503897,21.41485,177.720394,6.08585,58.27504,132.184867,15.692434,15.000358,39.303876,0.817996,2.04504,0.737405,0.737247,3.310391,0.737405,5.86039,0.737405,51.703853,10250.00036,7.792534,209.334977,7.76261,24.250389,6.195904,73.111741,294.150388,14136.95,3.18293,0.737405,73.379404,1462.5,42105.00035,128.220386,0.737405,142.758491,0.708704,103.928504,109.550385,83.077304,4055.000351,402.403796,900.015848,1093.010384,0.30358,0.83334,419.38828,9305.000349,1528.135871,187.997698,167.050382,15.310382,2.95274,0.60489,4.440381,8.840381,17.115593,3793.000347,50.295085,1327.483777,2855.493429,7.986434,39.378323,15.420378,775.000345,20.00415,4.032504,74.925039,15.310377,383.503727,35.025039,8.41621,117.219143,1.383071,0.384777,1.000024,3.622039,3.515039,48.056442,160.250375,3.690741,6857.945131,3.641038,3.985604,96.235038,74.083604,975,3.751943,8.040664,21.205302,55.250372,8.24354,1.32544,0.737405,10205.00034,583.000338,14.154038,20834.86335,8.75052,512.822021,15.31037,30.13037,11.327516,3.5,2.692504,2.26425,7.366404,6.796346,28.018038,2319.010368,28.27218,3701.013003,1,42.28424,10460.00034,9.987504,23067.5,107.552696,2.527767,535.435764,0.039319,0.000541,2.70255,0.691868,535.000332,98.050364,250.403597,15.29965,9001.203593,21.222624,322.000186
1/10/21,3.67297,77.243354,101.235174,522.790047,1.798773,653.750303,85.399478,1.29601,1.8,1.702436,1.599861,2.023313,84.933497,1.598942,0.377832,1944.899796,1,1.327117,6.899468,5.41546,1.002127,2.62E-05,73.417342,11.018241,2.569898,19600,2.019959,1.27319,1969.999994,0.887695,0.025904,714.782413,6.4754,3497.341513,615.190184,1,26.5,90.196319,21.469023,178.396728,6.10283,58.352556,132.184867,15.784735,15.000004,39.489162,0.820635,2.01415,0.739865,0.739903,3.309783,0.739865,5.872311,0.739865,51.701691,10286.62577,7.808916,209.775051,7.754625,24.148875,6.195901,73.26544,295.167969,14049.5317,3.18262,0.739865,73.378394,1463.075665,42105.00025,128.220012,0.739865,143.060941,0.708697,104.093985,109.780777,83.077298,4072.556237,402.410825,900.06313,1093.010041,0.30358,0.835092,420.269939,9315.582822,1515.173824,188.395992,167.050217,15.310178,2.95274,0.60489,4.441227,8.839755,17.151575,3822.03681,50.400818,1330.296196,2854.570156,8.003354,39.483027,15.420297,772.829448,20.05299,4.032502,74.925002,15.309887,396.335378,34.923517,8.470185,117.467485,1.389195,0.38497,1.002127,3.629611,3.526217,48.056442,160.587566,3.702229,6872.474438,3.641029,3.97328,96.234968,74.4199,993.316973,3.75175,8.040664,21.697342,55.25034,8.261199,1.32872,0.739865,10204.99989,582.999633,14.153972,20834.86335,8.768916,512.796441,15.257587,30.142024,11.351329,3.5,2.692501,2.26425,7.36336,6.810634,28.018025,2323.885481,28.331616,3708.793456,1,42.373824,10482.03681,9.987497,23115.74642,108.144148,2.510976,536.570143,0.040011,0.000542,2.70255,0.693333,536.570143,98.050268,250.398342,15.308696,9001.208908,21.267239,322.000186
1/11/21,3.673202,77.150114,101.449985,523.76038,1.795852,657.494061,85.306903,1.297454,1.8,1.666171,1.608281,2.019999,84.833728,1.608298,0.377009,1956,1,1.330176,6.888059,5.489198,1.000419,2.81E-05,73.387359,11.091449,2.580709,19600,2.016627,1.27734,1971.00043,0.889675,0.026075,719.433018,6.480799,3501,614.469324,1,26.5,91.150073,21.5948,177.719783,6.116602,58.250265,132.649755,15.651595,14.999653,39.302368,0.822328,2.039964,0.739499,0.739485,3.310193,0.739499,5.854968,0.739499,51.709717,10225.00026,7.803534,209.310166,7.75535,24.279882,6.233397,72.358954,297.224978,14129.85817,3.17892,0.739499,73.513195,1462.5,42105.00045,128.701224,0.739499,142.898963,0.708983,104.132981,109.5503,83.185703,4054.999963,405.249808,900.047737,1097.450263,0.30368,0.833738,419.96678,9304.999959,1512.312194,189.086244,167.50203,15.490213,2.95274,0.604891,4.464984,8.802505,17.232547,3809.999842,50.750457,1337.610272,2857.8211,7.991004,39.249575,15.408119,774.999588,20.064902,4.047499,74.930003,15.489793,379.999636,35.000228,8.528185,117.419907,1.394095,0.385002,1.000502,3.612501,3.524966,48.080227,160.349763,3.721714,6880.797316,3.64125,4.005503,96.725033,74.663096,987.5,3.752323,8.002049,21.208295,55.298714,8.30036,1.33029,0.739499,10200.00005,584.999936,14.154007,20834.86335,8.754286,512.848756,15.490131,30.169525,11.399956,3.51,2.700501,2.2674,7.477015,6.801388,28.035702,2320.04198,28.16742,3699.643941,1,42.514473,10472.00022,9.987497,23060,108.465343,2.520166,539.411707,0.039897,0.000541,2.70255,0.692301,539.460758,98.549688,250.350151,15.53422,9001.198035,21.229514,322.000186
1/12/21,3.673203,77.187145,101.350511,525.440127,1.794636,657.502008,85.4622,1.28635,1.8,1.702206,1.6092,2.018677,84.78649,1.604389,0.376991,1955,1,1.328369,6.883495,5.3229,0.999753,2.93E-05,73.23194,11.077871,2.575602,19600,2.015213,1.270815,1969.999975,0.886102,0.026275,725.000072,6.463965,3477,614.815638,1,26.5,91.040217,21.436502,177.720323,6.093499,58.275022,132.908447,15.6645,14.99976,39.298619,0.819095,2.033034,0.731596,0.73155,3.302795,0.731596,5.864974,0.731596,51.697402,10175.00011,7.795755,209.206845,7.75434,24.264972,6.2105,71.248678,294.078971,14072.03231,3.15799,0.731596,73.158203,1462.5,42104.99987,127.780043,0.731596,142.758763,0.708995,103.752502,109.705413,83.784197,4059.99965,403.95012,900.057617,1094.539597,0.30353,0.833141,420.246749,9315.000039,1519.00024,189.958614,167.999631,15.350006,2.95274,0.60489,4.467497,8.836004,17.211218,3787.496752,50.473483,1329.210137,2858.125457,7.985964,39.260165,15.410125,774.999619,19.79693,4.055001,74.97939,15.350375,380.498462,35.020372,8.44749,117.171302,1.38343,0.385027,0.999749,3.604499,3.52875,48.110217,160.400564,3.70385,6902.336679,3.641039,3.991495,96.330081,73.475206,985,3.751547,7.970152,21.204079,55.249824,8.24309,1.32312,0.731596,10205.00004,583.999634,14.153984,20834.86335,8.747701,512.805913,15.340076,30.039777,11.392499,3.5,2.701967,2.275597,7.45198,6.797844,27.993004,2318.486009,28.029258,3714.152896,1,42.455982,10472.99983,9.987502,23066.5,108.04109,2.518803,539.700183,0.038969,0.000538,2.70255,0.694169,538.999729,98.449691,250.412179,15.21045,9001.201224,21.230289,322.000186
1/13/21,3.673203,77.250041,101.093234,526.890125,1.794524,657.501982,85.562299,1.29115,1.8,1.692016,1.607633,2.018593,84.78411,1.608799,0.376978,1956,1,1.32599,6.87331,5.299396,0.999762,2.68E-05,73.135978,11.028777,2.575745,19600,2.015239,1.269855,1971.000366,0.887102,0.026739,737.787686,6.468101,3477.29,614.052392,1,26.5,91.040222,21.518022,177.720092,6.11675,58.249889,132.47852,15.658501,15.000479,39.280301,0.822225,2.03585,0.732732,0.732715,3.304997,0.732732,5.874993,0.732732,51.750359,10179.99983,7.795624,209.166605,7.75365,24.270071,6.234796,73.036109,296.459582,14180.5,3.13027,0.732732,73.17015,1461,42104.99998,128.595095,0.732732,143.049836,0.708979,103.83797,109.950224,83.819688,4054.999962,405.050049,900.063734,1098.110171,0.30318,0.833148,418.98601,9310.000331,1515.326017,192.451011,168.202887,15.230424,2.95274,0.60489,4.450202,8.87225,17.245886,3782.496222,50.683568,1329.150344,2849.501927,7.984547,39.520179,15.410498,769.999741,19.83885,4.0445,74.99046,15.249863,379.999944,35.020265,8.467965,117.016275,1.390935,0.384946,0.999762,3.614942,3.525021,48.01301,160.450449,3.734161,6900.599216,3.64125,4.006298,96.680615,73.883899,982.5,3.751995,8.002049,21.201233,55.294362,8.33603,1.325704,0.732732,10200.00029,583.499403,14.153971,20834.86335,8.748294,512.826736,15.220163,30.000294,11.392264,3.51,2.702706,2.275098,7.40192,6.786017,28.033024,2318.999512,27.964293,3704.154269,1,42.624878,10479.99978,9.987499,23064.5,108.459932,2.509485,539.172283,0.03947,0.000541,2.70255,0.693819,537.999614,98.503879,250.350262,15.262365,9001.199925,21.249897,322.000186
