Ticker,shortName,longName,country,currency,previousClose,impliedSharesOutstanding,marketCap,industry,sector,website,USDExchangeRate,previousCloseUSD,marketCapUSD
0973.HK,L'OCCITANE,L'Occitane International S.A.,Luxembourg,HKD,30.6,1472169984,43429015552,Household & Personal Products,Consumer Defensive,https://group.loccitane.com,7.83538,3.905362599,5542681472
NTCO3.SA,GRUPO NATURAON      NM,Natura &Co Holding S.A.,Brazil,BRL,16.09,1383680000,22208063488,Household & Personal Products,Consumer Defensive,https://www.naturaeco.com,5.166796,3.114115595,4298227274
BFT.WA,BENEFIT,Benefit Systems S.A.,Poland,PLN,2760,2967000,8052567552,Leisure,Consumer Cyclical,https://www.benefitsystems.pl,4.052443,681.0706529,1987089652
COUR,"Coursera, Inc.","Coursera, Inc.",United States,USD,11.95,157324000,1924072448,Education & Training Services,Consumer Defensive,https://www.coursera.org,1,11.95,1924072448
WRBY,Warby Parker Inc.,Warby Parker Inc.,United States,USD,12.05,118163000,1462857984,Medical Instruments & Supplies,Healthcare,https://www.warbyparker.com,1,12.05,1462857984
COCO,"The Vita Coco Company, Inc.","The Vita Coco Company, Inc.",United States,USD,23.38,56929300,1313928192,Beverages - Non-Alcoholic,Consumer Defensive,https://thevitacococompany.com,1,23.38,1313928192
ARZZ3.SA,AREZZO CO   ON      NM,Arezzo Indústria e Comércio S.A.,Brazil,BRL,51.49,110958000,5880774144,Footwear & Accessories,Consumer Cyclical,https://ri.arezzoco.com.br,5.166796,9.965556991,1138185859
LMND,"Lemonade, Inc.","Lemonade, Inc.",United States,USD,15.86,70224400,1134826240,Insurance - Property & Casualty,Financial Services,https://www.lemonade.com,1,15.86,1134826240
VITL,"Vital Farms, Inc.","Vital Farms, Inc.",United States,USD,25.24,41795800,1059105600,Farm Products,Consumer Defensive,https://vitalfarms.com,1,25.24,1059105600
SOMA3.SA,GRUPO SOMA  ON      NM,Grupo de Moda Soma S.A.,Brazil,BRL,6.09,784747008,4936058880,Apparel Retail,Consumer Cyclical,https://www.somagrupo.com.br,5.166796,1.178680172,955342320.5
FREY.PA,FREY,Frey SA,France,EUR,27.8,31663700,888817984,REIT - Retail,Real Estate,https://www.frey.fr,0.93858,29.619212,946981593.5
CONCHATORO.SN,VINA CONCHA Y TORO,Viña Concha y Toro S.A.,Chile,CLP,1180,740371008,8.86812E+11,Beverages - Wineries & Distilleries,Consumer Defensive,https://www.vinacyt.com,952.504567,1.238839204,931031739.5
1112.HK,H&H INTL HLDG,Health and Happiness (H&H) International Holdings Limited,Hong Kong,HKD,10.08,645561024,6558899712,Packaged Foods,Consumer Defensive,https://www.hh.global,7.83538,1.286472386,837087634.8
2897.TW,O-BANK CO LTD,"O-Bank Co., Ltd.",Taiwan,TWD,9.76,2716470016,26648571904,Banks - Regional,Financial Services,https://www.o-bank.com,32.609498,0.299299302,817202764.2
LFG.AX,LIBERTY FG STAPLED [LFG],Liberty Financial Group Limited,Australia,AUD,3.8,303804000,1184835584,Credit Services,Financial Services,https://www.liberty.com.au,1.550405,2.450972488,764210373.4
AMAL,Amalgamated Financial Corp.,Amalgamated Financial Corp.,United States,USD,22.46,30811400,693879552,Banks - Regional,Financial Services,https://www.amalgamatedbank.com,1,22.46,693879552
ABB.AX,AUSSIEBAND FPO [ABB],Aussie Broadband Limited,Australia,AUD,3.5,295184992,1062665920,Telecom Services,Communication Services,https://www.aussiebroadband.com.au,1.550405,2.25747466,685411824.7
MOVI3.SA,MOVIDA      ON      NM,Movida Participações S.A.,Brazil,BRL,7.51,361155008,2615371776,Rental & Leasing Services,Industrials,https://ri.movida.com.br,5.166796,1.453512002,506188317.9
6088.T,SIGMAXYZ HOLDINGS INC,SIGMAXYZ Holdings Inc.,Japan,JPY,1532,43201300,66099957760,Specialty Business Services,Industrials,https://www.sigmaxyz.com,154.837499,9.894244029,426898898.4
IBAB.BR,ION BEAM APPLICATIONS,Ion Beam Applications SA,Belgium,EUR,13.26,29171400,384479072,Medical Devices,Healthcare,https://www.iba-worldwide.com,0.93858,14.12772486,409639105.9
AEF.AX,A ETHICAL FPO [AEF],Australian Ethical Investment Limited,Australia,AUD,4.55,112782000,541353600,Asset Management,Financial Services,https://www.australianethical.com.au,1.550405,2.934717058,349169152.6
CLSA3.SA,CLEARSALE   ON      NM,ClearSale S.A.,Brazil,BRL,7.76,187926000,1495890944,Software - Infrastructure,Technology,https://www.clearsale.com.br,5.166796,1.501897888,289520032.1
KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,New Zealand,NZD,0.53,711667008,384300192,Apparel Manufacturing,Consumer Cyclical,https://www.kathmanduholdings.com,1.688932,0.313807779,227540358
KPG.AX,KELLYPRTNR FPO [KPG],Kelly Partners Group Holdings Limited,Australia,AUD,7,46786800,317250016,Specialty Business Services,Industrials,https://kellypartnersgroup.com.au,1.550405,4.51494932,204623963.4
VHT.AX,VOLPARA FPO NZ [VHT],Volpara Health Technologies Limited,New Zealand,AUD,1.14,254828992,290505056,Health Information Services,Healthcare,https://www.volparahealth.com,1.550405,0.735291746,187373657.9
