Date,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,LMND_MktCap_USD,SOMA3.SA_MktCap_USD,ARZZ3.SA_MktCap_USD,MME.AX_MktCap_USD,FREY.PA_MktCap_USD,CONCHATORO.SN_MktCap_USD,MOVI3.SA_MktCap_USD,AEF.AX_MktCap_USD,ABB.AX_MktCap_USD,LFG.AX_MktCap_USD,1112.HK_MktCap_USD,VITL_MktCap_USD,2897.TW_MktCap_USD,KMD.NZ_MktCap_USD,AMAL_MktCap_USD,SML.NZ_MktCap_USD,IBAB.BR_MktCap_USD,BFT.WA_MktCap_USD,Index
2022-01-04,5616020927,5847210426,2661505951,1593667167,1326941003,1119758184,1044600887,1043874396,855975354.5,1036967694,985942121,985891797.6,878798786.5,763564712.8,737501389.1,613853547.1,499634866.1,514322661.4,480534918.4,457024298.6,29.06359109
2022-01-05,5326802623,5827890974,2508757608,1433652859,1256163207,1106271571,1047380492,1082071574,793395327.8,971876884.5,899973594,979731210.3,918179814.4,737944529.5,738104937.6,608052436.3,500517112.2,511389106.4,482457728.6,457024298.6,28.18763789
2022-01-06,5290294151,5924138999,2409198388,1484209051,1284817157,1081696983,1045849408,1096719273,794075141.8,955007778.7,945747799.7,971851150.2,898500568.4,768184766.9,738661959.6,603336675,514632696.9,504506797.8,474034144.3,459224600.4,28.24468749
2022-01-07,5162648599,5924138999,2532624456,1462063231,1285483477,1081696983,1045849408,1100830310,785339843.6,955007778.7,945747799.7,971851150.2,898500568.4,777424794.9,738661959.6,603336675,514044611.2,504506797.8,474034144.3,459224600.4,28.22301619
2022-01-09,5162648599,6127026498,2532624456,1462063231,1285483477,1063028099,1044694237,1100830310,785339843.6,935096304.4,941364057.1,982750952.7,914906561.2,777424794.9,741594222.7,590199801.3,514044611.2,502646613.5,475105027,459644278,28.39851597
2022-01-10,5025870972,6065488597,2448067402,1421658297,1229289131,1089507449,1049042053,1103553151,766063620.8,910398033.9,952248047.9,975933619.7,931374421.8,795904931.1,764758808.7,573264424.4,502869748.8,506366768.8,478061845.5,466929595.8,28.05665092
2022-01-11,5434595686,6137802536,2658778498,1486568451,1285010469,1072803726,1052262621,1093516050,790067371,843416500.5,966704023.4,974478835.2,981042731.2,804304934.7,764312806.7,586648178.8,504928225.1,519200874.5,471763853.2,465248739.4,28.89345511
2022-01-12,5466188450,5967463676,2589223351,1572425926,1333238204,1094270773,1059120768,1101583297,813725624.5,841972361.1,993719288.2,991513055.4,956663565.5,778684831.5,842164948.6,580070190.5,494635608.8,522744354.9,477444005,456465616.5,28.9333179
2022-01-13,5194103552,5814992616,2426246210,1567176710,1329362043,1088628218,1060577977,1125089079,809996871.4,825618472.2,980488132.4,987620742,965932876.5,777844807.1,830547411.1,573144821,502281545.6,517945685.7,473535154.7,455681643,28.30681457
2022-01-14,5183058432,5814992616,2401697304,1572367972,1321538645,1088628218,1060577977,1101006851,820715370.8,825618472.2,980488132.4,987620742,965932876.5,772384728.6,830547411.1,573144821,506986818.9,517945685.7,473535154.7,455681643,28.25446987
2022-01-16,5183058432,5671543830,2401697304,1572367972,1321538645,1058072202,1056335230,1101006851,820715370.8,845010156.1,984748612.2,966542190.3,956151397.1,772384728.6,798769650.7,572760819.2,506986818.9,515400270.8,476188304.5,453352213,28.034631
2022-01-17,5063645846,5584909673,2401697304,1554628198,1318743334,1052008789,1062743309,1093122488,833310661.5,826904092.2,986135350.3,978258969.2,967137837.8,772384728.6,828060219.2,587897476.6,506986818.9,514427375.4,465147007.2,451662509.6,27.84981199
2022-01-18,4784242310,5601529935,2241447618,1501223291,1291284985,1011943581,1048932703,1115410442,811882787.3,837128326.5,982983340.6,969813209.9,924368296.4,737104505.1,809582088.4,581781070.7,503751936.1,511145944.9,462529838.1,444683912.9,27.17277012
