Date,0973.HK_MktCap_USD,NTCO3.SA_MktCap_USD,COUR_MktCap_USD,WRBY_MktCap_USD,ARZZ3.SA_MktCap_USD,SOMA3.SA_MktCap_USD,1112.HK_MktCap_USD,FREY.PA_MktCap_USD,LMND_MktCap_USD,CONCHATORO.SN_MktCap_USD,COCO_MktCap_USD,LFG.AX_MktCap_USD,2897.TW_MktCap_USD,AMAL_MktCap_USD,VITL_MktCap_USD,ABB.AX_MktCap_USD,BFT.WA_MktCap_USD,IBAB.BR_MktCap_USD,SML.NZ_MktCap_USD,MOVI3.SA_MktCap_USD,Index
2023-01-03,4763419550,2445222746,1942175774,1717421168,1443012125,1291338319,1257863604,1074586236,936266375.5,864037216.5,753543960.3,726861108.3,719041689.9,692613866.5,635883928.5,535586201.7,509265623.5,491240462.5,480999258.9,443606725.3,23.72398594
2023-01-04,4687614629,2686467492,1981491072,1839666136,1489354238,1364013515,1298748556,1080890232,978545032.4,859735348.3,776429361,747499979.8,724320254.4,703085460.3,630003877.9,553912030.2,501169452.3,487395378.3,489430330.9,467085267.2,24.34685764
2023-01-05,4494594276,2895037089,1979918424,1808505640,1529811635,1434718223,1274953295,1072079538,962179073.4,869773140.9,770289392.3,739422035.2,725952647.6,702786243.3,632943883.2,549925844.5,501169452.3,482815936.4,487827700.2,490601479.7,24.40530495
2023-01-06,4494594276,3103922162,1978345776,1850452356,1597316821,1531208581,1274953295,1072079538,945813179.5,868520416.1,752427573.4,739422035.2,725952647.6,721934011.6,637983909.4,549925844.5,501169452.3,482815936.4,487827700.2,530105806.1,24.84677132
2023-01-08,4524715113,3103922162,1978345776,1850452356,1597316821,1531208581,1322987894,1079463400,945813179.5,868520416.1,752427573.4,746881183.5,730629711,721934011.6,637983909.4,530561186.8,519875246.2,508624644.1,500625081,530105806.1,24.98239405
2023-01-09,4516906393,3061418531,2050685930,1885208258,1572274986,1474523305,1237749301,1087412388,931493006.1,872578166.6,761358509.5,748853160.6,742462938.2,691716392,640923954.7,548330114,522668786.5,527221382.1,491917220.1,525132899.8,24.89083562
2023-01-10,4375302240,3206028951,2038105046,2007453225,1632203072,1564718392,1160745059,1094157317,999002367.2,855605874,765265757.4,737248780.6,790096266,700093525.9,648903986.2,557046262.3,510214031,557139304.6,489229947.4,549745895.2,25.2383053
2023-01-11,4392120667,3259272320,2060121667,2102133219,1686130360,1563133924,1131224568,1096759002,1063784144,888367865.6,751869433.1,740664697.3,795326353.9,682441607.2,640923954.7,560222036.4,518225447.1,534263930.4,480606086.4,547871468,25.49546275
2023-01-12,4319447332,3198242224,2055403724,2073369509,1715759326,1543016114,1217329434,1106503021,1125838208,891693547.8,749078518.9,745167631.6,794626108,694109833.6,665704113.6,575403806.7,530926968.2,529620139.5,490479916.1,540155712.5,25.56187519
2023-01-13,4319447332,3180360321,2091573876,2009850239,1701737690,1500377386,1217329434,1106503021,1117655196,881089411.9,756334874.6,745167631.6,794626108,694109833.6,684184249.8,575403806.7,530926968.2,529620139.5,490479916.1,517949318.2,25.44472675
2023-01-15,4290203862,3180360321,2091573876,2009850239,1701737690,1500377386,1229186778,1102885941,1117655196,881089411.9,756334874.6,751615648.4,791479663.3,694109833.6,684184249.8,596536750.5,527039364.5,531008747.6,490241930.8,517949318.2,25.44542108
2023-01-16,4160235264,3104836781,2091573876,2009850239,1656486290,1460801187,1229281203,1103447310,1117655196,875976224.2,756334874.6,752802675.7,791924059.5,694109833.6,684184249.8,602129181.6,510131938.3,517544428.9,480937512.3,485313818.2,25.08555614
2023-01-17,4258438942,3161755743,2102582111,1981086758,1727102730,1498948161,1223495219,1092773145,1129247720,883726140.8,764149370.4,762787502.9,791924059.5,703384618.4,730804482.3,618382906.7,533783809.8,522980053,488220927,486283918.5,25.46185832
2023-01-18,4161760346,3132367015,2080565490,1945132235,1705929529,1468025181,1210199853,1100135157,1079468110,872204720.4,739031249.1,758207462.8,791924059.5,685134324.6,718624449,610558421.3,539015974.3,517858216.5,486548806.7,492536195.1,25.0952268
2023-01-19,4141003083,3134695032,2086856082,1875620431,1741055823,1450121821,1223291524,1097603971,1031052292,867560822,738473055.6,748990346.4,791924059.5,681843290.9,708124384.4,607775654.2,546862759.5,529039663.6,488284288,501218404.9,24.99139679
2023-01-20,4141003083,3068825256,2124598732,1907979433,1721431617,1443858049,1223291524,1097603971,1010594892,875351371.3,752985766.9,748990346.4,791924059.5,686031857.9,743404607.9,607775654.2,546862759.5,529039663.6,488284288,495968396.6,25.00580533
2023-01-22,4141003083,3068825256,2124598732,1907979433,1721431617,1443858049,1223291524,1100597154,1010594892,875351371.3,752985766.9,748746340.2,791924059.5,686031857.9,743404607.9,628342259.1,538055415.4,527977143,494017082.4,495968396.6,25.02498404
2023-01-23,4141003083,3183058577,2171777119,1993071370,1734020340,1455921594,1223291524,1114169521,1054237340,876415138.1,746845798.2,744015535.7,791924059.5,692314708.3,735004524.2,638808472.5,539236661.6,526464236.2,494159761.3,500689413.4,25.35642878
2023-01-24,4141003083,3444329211,2223673300,2018239560,1775487958,1519880075,1223291524,1109358248,1025596994,885438300.3,760242122.5,759525468.8,791924059.5,702786243.3,708544396.6,640360064.4,530515755,523455015.1,484507252.4,497718241.4,25.76587687
2023-01-25,4075757828,3439682082,2245689771,1989476078,1831209709,1578670316,1285749087,1112811325,1026278922,884882306.9,765265757.4,759525468.8,791924059.5,693511458.5,721984466.5,640360064.4,538613562.1,520047600.7,485224845.7,512569133.1,25.89923384
2023-01-26,4076278442,3379289544,2307021690,1973895716,1817975585,1568455075,1192863912,1110039892,1014004469,890343760.3,744613077.5,768759069.1,791924059.5,713856035.8,708124384.4,644372991.7,545362954.5,519380521.4,494148536.4,516095891.4,25.77680561
2023-01-27,4076278442,3353515642,2451701998,2005056211,1785473076,1535171393,1192863912,1110039892,1033098012,887598633.9,719494956.1,768759069.1,791924059.5,676158698,722404478.7,644372991.7,545362954.5,519380521.4,494148536.4,495166055.7,25.80796953
2023-01-29,3983478174,3353515642,2451701998,2005056211,1785473076,1535171393,1079998598,1114060511,1033098012,887598633.9,719494956.1,744407609.5,806432594.9,676158698,722404478.7,654342445.8,545760813.7,516385854.9,490042000.3,495166055.7,25.59974776
2023-01-30,4035682788,3532684773,2432830673,1909177940,1896463965,1571709606,1114114904,1111842555,1043326745,877252096.7,732891280.4,776338366.1,811692301.1,682142449.1,735004524.2,626689461.7,548735697,518484954.2,489643924.3,493108199.1,25.9398172
2023-01-31,3745931312,3797521884,2508315973,1935544407,1901465766,1636461220,1140893408,1113032021,1110154242,890445466.2,757451208.3,761982879,819627567.3,686630233,738364541.7,621995351,544231750.3,532187818,480402606.8,525842886.2,26.24848254
2023-02-01,3694337237,3667206784,2553921712,1997865398,1922294648,1658029849,1119668260,1128549702,1138794589,899995554.6,769731198.9,760199810.8,851902336.1,684535831.9,741304546.9,632376103.1,559315669.3,561826650.2,486232488.6,507476284.4,26.33556465
2023-02-02,3665847767,3712267518,2560212304,2037415214,1932866597,1676658348,1111286075,1123933117,1284041979,911574786.5,764149370.4,756643833,869716990,687826924.4,742144571.3,621960067.2,554683701.1,578332810.1,497314284.9,505808441.8,26.5946847
2023-02-03,3665847767,3597804282,2542913477,1966704903,1849367915,1540715086,1111286075,1123933117,1251992119,909794589.4,759125788.8,756643833,869716990,690531342.4,711904414,621960067.2,554683701.1,578332810.1,497314284.9,486214037.8,26.0867866
