Date,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,COUR_MktCap_USD,WRBY_MktCap_USD,BFT.WA_MktCap_USD,COCO_MktCap_USD,ARZZ3.SA_MktCap_USD,SOMA3.SA_MktCap_USD,LMND_MktCap_USD,1112.HK_MktCap_USD,FREY.PA_MktCap_USD,2897.TW_MktCap_USD,CONCHATORO.SN_MktCap_USD,LFG.AX_MktCap_USD,AMAL_MktCap_USD,MOVI3.SA_MktCap_USD,ABB.AX_MktCap_USD,VITL_MktCap_USD,AEF.AX_MktCap_USD,IBAB.BR_MktCap_USD,Index
2024-01-02,4488156495,4109498455,3033568526,1785734465,1487036382,1461317119,1434068372,1163805685,1161979638,1009213464,903027505,880559638.7,854250695.9,838609578.4,811397646.1,807686556.9,759041767.3,648064001.9,381583836.8,363095213.2,28.38169504
2024-01-03,4509982610,4075935065,3019414995,1737795329,1482485127,1407173522,1417970223,1226388362,1106062671,1006916454,901803997.4,877706341.9,846979956.5,838909723.5,780225401.5,822059053.9,747634707.3,624123827.3,384224603.9,361964887.1,28.17575686
2024-01-04,4366785288,4037454905,2973809105,1712627255,1487931333,1393777198,1360662533,1193075687,1132657363,986906067.9,903477286.3,876481671.5,837762150.5,855668235.1,788171260.9,806999054.2,736473048.8,645963980.9,384018232.9,361996924.4,27.84269858
2024-01-05,4429940524,4037454905,2956510278,1652703278,1487931333,1375357239,1411460959,1280543635,1128565792,986906067.9,903477286.3,876481671.5,841936024.9,855668235.1,797645190.5,831952599.7,736473048.8,644703984.4,384018232.9,361996924.4,27.98172721
2024-01-07,4429940524,3988929767,2956510278,1652703278,1553073479,1375357239,1411460959,1280543635,1128565792,960147034.4,903062087.6,879369443,841936024.9,865143123.2,797645190.5,831952599.7,741579585.7,644703984.4,371545436.9,367584065.9,27.98175353
2024-01-08,4472188814,4123504083,3027277934,1747383157,1581571636,1385404509,1489627827,1334338569,1244491036,947607420.7,903777059.7,885261286.4,821400178.9,887815682.1,791838594.2,879083876.1,737792580.9,661924084,381802852.2,374272911,28.67836409
2024-01-09,4420397351,4118662414,3003688816,1667085018,1580924250,1368659130,1479824746,1311472870,1180391187,921760636.9,909133359.3,866577612.8,805312015.4,887250743.5,784198301.8,856551853.4,745818410.1,640083930.3,382701929.5,358927857.9,28.28942243
2024-01-10,4535606982,4097666789,3046149409,1689856194,1598710160,1421686234,1482576497,1342951671,1191983712,947637516.9,912735191.5,852665513.9,805636193,899953697.3,786948816.5,826729747.6,734051319.1,651844031.5,384514064.7,359067486.5,28.56897123
2024-01-11,4544942089,4220978736,3047721757,1669482032,1630313493,1420011760,1473585000,1312788388,1151750840,956134618.4,927229744.8,855525710.7,808994824.9,905575178.8,782364605.8,784810458.5,737622687.7,632943883.2,369832674.7,357359631.1,28.58996811
2024-01-12,4612681046,4220978736,3082319411,1649107871,1630313493,1444571634,1477575519,1292652233,1133339291,956134618.4,927229744.8,855525710.7,808025329.4,905575178.8,775641132.1,772795744.4,737622687.7,640503942.5,369832674.7,357359631.1,28.64978563
2024-01-14,4612681046,4210223250,3082319411,1649107871,1594879692,1444571634,1477575519,1292652233,1133339291,955827129.1,931133859.2,845002257.9,808025329.4,910353317.8,775641132.1,772795744.4,732589176.9,640503942.5,368571691.3,354907278.6,28.59270081
2024-01-15,4546600378,4218310542,3082319411,1649107871,1574450635,1444571634,1429256144,1250661147,1133339291,963767560.4,945057292.4,826792257.1,805843018.8,915212300.7,775641132.1,759516396.7,732307319,640503942.5,373634358.4,354916990.2,28.42180962
2024-01-16,4389187874,4150659935,3083892059,1587985387,1535863806,1432291697,1396303214,1158359440,1080831967,932042108.2,953071635.5,815565516.8,777540370.2,898764995,774724372.3,730924088.9,731404963.3,637983909.4,368764764.9,346383753.5,27.78254586
2024-01-17,4496456782,4293587679,3058730293,1556824892,1599876562,1412197157,1356277430,1159466701,1122428565,904483567.4,960583985.2,810775416.3,778459196.3,897451997.4,765250383.9,728850311.7,723219793.5,622863830.7,360931408.7,337062946.9,27.9457789
2024-01-18,4487545148,4322386418,3079174115,1587985387,1625530817,1364193688,1334519018,1132089816,1091060634,898021020.2,918570032.5,815005392.8,781253693.3,889689546.9,769223343,700934711.6,724683284.4,619503813.2,374010762.4,336225671.3,27.85160631
2024-01-19,4628984135,4322386418,2761506437,1579596067,1625530817,1248092105,1345419992,1132816816,1121746767,898021020.2,918570032.5,815005392.8,794939924.4,889689546.9,781447787.2,726535204.8,724683284.4,605223718.9,374010762.4,336225671.3,27.6304319
2024-01-21,4628984135,4164865935,2761506437,1579596067,1653379674,1248092105,1345419992,1132816816,1121746767,852338492.2,919650526.6,821860463.2,794939924.4,881561162.7,781447787.2,726535204.8,714508934.5,605223718.9,383355648.7,332803160.4,27.45063295
2024-01-22,4505994321,4268310534,2822838505,1586786880,1626808392,1172179494,1299727766,1077898935,1173572032,865533146.5,918450134.3,825770236.6,804646792.4,898401357.6,806202242.6,682157703.7,719757867.1,611943753.9,386967261.4,329191228.7,27.38313858
2024-01-23,4618933769,4350253230,2907759393,1595176315,1584538938,1170504913,1316270501,1124509213,1171526377,907840182.6,916720097.5,829429939.9,815281695.8,878061251.8,797645190.5,692901787,723037836.7,612783778.3,405466517.6,333011310,27.75165224
2024-01-24,4387766090,4503070272,2895178510,1564015819,1627357494,1165481278,1275781373,1103037914,1148341328,919880926.1,932651971.7,830391177,795868363.7,853027933.4,814453786.5,703651589.9,729950571,617823804.5,400003326.7,331236468.3,27.59897
2024-01-25,4362307355,4361656638,2981672045,1584389981,1595660436,1169946720,1320249632,1145855077,1136066875,893422744,929632321.9,831547632.3,794994302.9,853027933.4,781753413,705317739.9,729950571,630843902.3,400003326.7,332065142.5,27.54036379
2024-01-26,4301418260,4361656638,3123207357,1554427992,1595660436,1121385058,1335794598,1131481309,1127883993,893422744,929632321.9,831547632.3,788683957.5,853027933.4,801923716.5,686540081.8,729950571,627063872.6,400003326.7,332065142.5,27.52677694
2024-01-28,4301418260,4514734906,3123207357,1554427992,1582405738,1121385058,1335794598,1131481309,1127883993,903848873.4,929324882.1,830027223.9,788683957.5,825375164,801923716.5,686540081.8,734124107.7,627063872.6,384519543.9,337656857.6,27.64182749
2024-01-29,4171555509,4345412955,3249016190,1579596067,1596147229,1152084954,1305351954,1099102424,1193347569,875805805.8,928549626.7,828765225.5,784156152.3,835873888.6,819954815.8,678710368.6,736142841,632103898.8,400179932.8,339274115.1,27.55113152
2024-01-30,4136712367,4681910292,3124780005,1590382401,1626126315,1129757747,1278762109,1095848527,1139476387,842439839.5,929334958.9,828663983.2,770889792.5,835432722.3,843181259.8,664949574,749606663.6,633363895.3,384759201.3,334492989.8,27.62087103
2024-01-31,4277050825,4719404455,3009979107,1528061410,1642383399,1099057850,1432876413,1279691954,1078786181,862202784.6,932790185.7,829894703.1,783977627.7,825234745.4,811703330.7,670521038.1,741937527.4,603963722.4,377854166.2,324431287.4,27.83180271
2024-02-01,4387259695,4849408254,3009979107,1564015819,1680384823,1119710477,1449628939,1268135052,1103335087,850379867.1,932013026.5,825799282.1,782893084.2,834934193.7,795200301.6,670452893.5,743474613.6,635883928.5,390003173.6,324020849.8,28.21691247
2024-02-02,4300894306,4849408254,2863726151,1644313958,1680384823,1113012368,1433158550,1241839453,1094470147,850379867.1,932013026.5,825799282.1,760716402.7,834934193.7,783281424.4,660478886.6,743474613.6,619503813.2,390003173.6,324020849.8,27.94581354
2024-02-04,4300894306,4886029772,2863726151,1644313958,1666283798,1113012368,1433158550,1241839453,1094470147,856801706.9,930779071,819448995.4,760716402.7,871543314.5,783281424.4,660478886.6,743300627.3,619503813.2,380951362.8,319952839.9,27.99048695
2024-02-05,4275985364,5224285881,2770942324,1587985387,1636167343,1094592409,1353289603,1157112005,1044008673,874925153.3,920620338,819448995.4,758097976.1,874066351.7,774383997.5,641913636.9,740415538,627903856.9,387874333.1,313470627.9,27.87748979
2024-02-06,4574862542,5214473160,2791386147,1674275946,1656938956,1091801442,1359284053,1159307438,1080831967,889683322.7,928751633.4,819448995.4,767993942.4,884595482,757202747.3,648906028.5,773030538.2,624543839.5,385143273.9,309829059.7,28.39229051
2024-02-07,4480505305,5216600523,2748925554,1619145883,1662093553,1111337788,1369457950,1164112996,1068557514,896639233.6,923516945.8,819448995.4,771689156,843817517.9,744930442.5,646549373.2,785525246,625803836,372661423.5,317289871.1,28.18860911
2024-02-08,4380676529,5252719879,2770942324,1656298684,1676168835,1125850499,1330785563,1138007938,1095152075,896387025.7,916804477.5,819448995.4,760255257.6,850779818,740941902.3,611334585.6,773201647.7,643023975.6,375589577.9,319223230.6,28.13359282
2024-02-09,4408833119,5252719879,2810257622,1664688119,1676168835,1125292306,1378411356,1166798879,1129247720,896387025.7,916804477.5,819448995.4,757642398.2,850779818,733578484.1,600467242.7,773201647.7,651004007.1,375589577.9,319223230.6,28.30654474
2024-02-11,4408833119,5252719879,2810257622,1664688119,1664830314,1125292306,1378411356,1166798879,1129247720,896387025.7,918606199.9,819448995.4,757642398.2,834506583.4,733578484.1,600467242.7,768701178,651004007.1,363761882.6,326790111.4,28.27197342
2024-02-12,4408833119,5252719879,2767797029,1719818182,1652240965,1152643148,1378411356,1166798879,1156524210,896387025.7,916384763.1,819448995.4,761579313.1,817254360.3,760270823.5,600467242.7,763455887.1,648483974,361201751.4,341104101,28.341825
2024-02-13,4408833119,5188276682,2676585549,1649107871,1631688938,1147619513,1378411356,1166798879,1092424491,855412625.4,911085188.5,819448995.4,762042499.4,807597828.2,720999377.5,600467242.7,744885226.9,631683886.6,345779652.9,330371606.3,27.86952053
2024-02-14,4449442806,5198416860,2678158197,1723413589,1576474533,1216275821,1341213810,1140192472,1171526377,862128344.8,912977141.2,842987362.4,790983648.8,821290360,732658078.9,580354300,763696368.6,638403921.6,353176066,320398595.9,28.11416865
2024-02-15,4333967262,5281703186,2679730845,1766558811,1712288042,1237486641,1336689295,1119943935,1228125142,884985569.6,916518042.5,848715348.6,791322579.7,818748887,749839387.9,583477991.4,757205115.8,653944012.4,349705251.8,330453313.5,28.38140866
2024-02-16,4350555783,5281703186,2651423783,1737795329,1712288042,1214043047,1341941242,1142422228,1204940093,884985569.6,916518042.5,848715348.6,784980507.5,818748887,735726155.1,583554375.1,757205115.8,656044033.3,349705251.8,330453313.5,28.30374933
2024-02-18,4350555783,5262368007,2651423783,1737795329,1730757442,1214043047,1341941242,1142422228,1204940093,886542783.4,917476820.9,862552937,784980507.5,830212064.7,735726155.1,583554375.1,750881353.7,656044033.3,346121591.7,321347597.8,28.31168718
2024-02-19,4339934455,5346959014,2651423783,1737795329,1711893969,1214043047,1349463576,1134856542,1204940093,878306334.6,916656299.1,859788504.3,783968223.2,823348819.6,735726155.1,592586658.5,746190745.5,656044033.3,340802458.1,314764916.6,28.33949296
2024-02-20,4500709034,5290559869,2597954954,1686260673,1693122911,1192832227,1389205963,1158007788,1220624059,922795549.4,919753278.3,856086340.2,772002769.1,812313344.7,743396375,626731615.1,741060377.5,675784166.1,354040767.2,307300988.6,28.46054305
2024-02-21,4479545312,5290671487,2550776416,1677871353,1693820076,1174970355,1379462044,1147906393,1161979638,917871439.3,920479750.3,853021264,760100658.5,812270227,741555505.7,603877615.7,741021041.9,756004653.4,346941535.2,307543711.9,28.31769048
2024-02-22,4516081421,5327075585,2577510831,1694650107,1714240454,1183343151,1372733910,1147996638,1206303950,940732469.5,914055588.5,849013913.3,751017801,826949768.8,722226643.3,605584858.1,879540922.3,698464264,379144396.1,305163675,28.61183035
2024-02-23,4384136386,5327075585,2591664362,1706634834,1714240454,1197297668,1361325336,1135927430,1220624059,940732469.5,914055588.5,849013913.3,744097068.8,826949768.8,727749133.4,591712427.1,879540922.3,707284360,379144396.1,305163675,28.50436984
2024-02-25,4384136386,5400942512,2591664362,1706634834,1712330941,1197297668,1361325336,1135927430,1220624059,966861036.2,920454852.1,846545609.2,744097068.8,817738986.7,727749133.4,591712427.1,897841399.8,707284360,373109632.2,298369385.3,28.60264742
2024-02-26,4378644970,5260098780,2546058773,1674275946,1701159921,1229672145,1327148678,1103973679,1365871578,963576022.6,923086549.4,850576841.1,741754882.7,806567548.9,721919841.6,584850600.8,890429100.9,726604440.4,365279335.8,306195874.8,28.46774551
2024-02-27,4538177291,5579319449,2572793187,1802513220,1694173797,1251999353,1367061795,1154977833,1481114764,955315900.1,922494981.9,850576841.1,754542690.1,795194871.9,723147048.5,634683902.3,869734511.2,750964587.2,364116738.8,298080401,29.36098316
