,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,FREY.PA_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,AEF.AX_px_USD,ABB.AX_px_USD,LFG.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,AMAL_px_USD,SML.NZ_px_USD,IBAB.BR_px_USD,BFT.WA_px_USD,Index,
1/4/22,3.914688366,3.977998231,39.02999878,1.991195821,11.70157804,1.535002687,32.90755157,1.40415125,2.389049827,9.541018145,3.330666318,3.245157375,1.341494041,18.18000031,0.268931298,0.911566233,16.20798683,2.377764839,16.44960816,155.5282633,326.2336714,
1/5/22,3.713086636,3.964854741,36.79000092,1.79126711,11.07742678,1.516514778,32.99511611,1.455531584,2.214387319,8.942125244,3.04025122,3.224879211,1.401609524,17.56999969,0.269151383,0.902951643,16.2366066,2.364202723,16.51542954,155.5282633,321.513656,
1/6/22,3.68763814,4.030334593,35.33000183,1.854434176,11.33011053,1.482827095,32.94688314,1.475234707,2.216284698,8.786914579,3.194883629,3.198941238,1.371568983,18.29000092,0.269354502,0.895948785,16.69451141,2.332385125,16.22707451,156.2770399,321.8923725,
1/7/22,3.598661876,4.030334593,37.13999939,1.826764242,11.33598645,1.482827095,32.94688314,1.480764603,2.19190425,8.786914579,3.194883629,3.198941238,1.371568983,18.51000023,0.269354502,0.895948785,16.67543411,2.332385125,16.22707451,156.2770399,323.7736712,
1/9/22,3.598661876,4.168363851,37.13999939,1.826764242,11.33598645,1.457235152,32.91049235,1.480764603,2.19190425,8.603711439,3.180074662,3.234818982,1.396612875,18.51000023,0.270423757,0.876440662,16.67543411,2.323785308,16.26373283,156.4198588,323.8650659,
1/10/22,3.503320033,4.126498133,35.90000153,1.776280592,10.84043877,1.493533948,33.04745946,1.48442719,2.138103803,8.376465548,3.216842482,3.212379078,1.421751208,18.95000076,0.278870768,0.851291801,16.31292534,2.340983956,16.36495025,158.8990986,324.5356233,
1/11/22,3.788224578,4.175695049,38.99000168,1.857382111,11.33181524,1.470635914,33.14891546,1.470925942,2.205098904,7.760176314,3.265677022,3.207590515,1.497570317,19.14999962,0.278708133,0.871166539,16.37970161,2.400317304,16.14935821,158.3270926,327.726053,
1/12/22,3.810246544,4.059809415,37.97000122,1.964656107,11.75710967,1.500063675,33.3649643,1.481777472,2.271129714,7.746888957,3.356938802,3.263660284,1.460355307,18.54000092,0.307097066,0.861398294,16.04581261,2.416699166,16.34380042,155.3381402,323.8605501,
1/13/22,3.620587781,3.956079677,35.58000183,1.958097512,11.72292789,1.492328668,33.41087006,1.513395906,2.260722666,7.596418743,3.312241893,3.250848361,1.474504992,18.52000046,0.302860708,0.851114191,16.29384422,2.394514442,16.20999317,155.0713491,320.7927022,
1/14/22,3.612888699,3.956079677,35.22000122,1.964583696,11.65393756,1.492328668,33.41087006,1.481002076,2.290638281,7.596418743,3.312241893,3.250848361,1.474504992,18.38999939,0.302860708,0.851114191,16.4464817,2.394514442,16.20999317,155.0713491,320.3826566,
1/16/22,3.612888699,3.858488009,35.22000122,1.964583696,11.65393756,1.45044144,33.27721285,1.481002076,2.290638281,7.774839353,3.326634459,3.181466287,1.459573478,18.38999939,0.291272887,0.850543952,16.4464817,2.382746735,16.30081544,154.2786293,319.4921968,
1/17/22,3.529651285,3.799548704,35.22000122,1.942418865,11.62928721,1.442129506,33.47908343,1.470396547,2.32579207,7.608247582,3.331319077,3.220033188,1.476344376,18.38999939,0.301953749,0.873021734,16.4464817,2.378248943,15.9228512,153.7036125,318.4904223,
1/18/22,3.334891011,3.810855869,32.86999893,1.875692494,11.38714682,1.387206753,33.04401466,1.500376839,2.265986307,7.702319563,3.320671096,3.192233162,1.411056296,17.54999924,0.295215663,0.863938934,16.3415432,2.363078563,15.83326061,151.3287519,311.6782379,
1/19/22,3.519942516,3.87974562,31.26000023,2.001137742,12.26784673,1.370850365,33.08149674,1.526273233,2.317864508,7.577889963,3.304470865,3.221977752,1.453733789,17.54000092,0.294537378,0.859060729,15.72146034,2.345827944,16.84606651,144.7795535,305.1697374,
