,0973.HK_px_USD,NTCO3.SA_px_USD,COUR_px_USD,WRBY_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,1112.HK_px_USD,FREY.PA_px_USD,LMND_px_USD,CONCHATORO.SN_px_USD,COCO_px_USD,LFG.AX_px_USD,2897.TW_px_USD,AMAL_px_USD,VITL_px_USD,ABB.AX_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,SML.NZ_px_USD,MOVI3.SA_px_USD,Index,
1/3/23,3.240669167,1.704460357,12.35000038,14.32999992,12.72514676,1.613453246,1.920139802,33.85216538,13.72999954,1.162246093,13.5,2.392533026,0.262199933,22.46816063,15.14000034,1.809293755,173.306317,16.81607893,2.223707434,1.238118089,302.7897943,
1/4/23,3.189097252,1.872621768,12.60000038,15.35000038,13.13381289,1.70425674,1.982551039,34.05075709,14.35000038,1.156459502,13.90999985,2.46046785,0.264124772,22.80785561,15,1.871201263,170.5511387,16.68445452,2.262685119,1.30364732,303.420657,
1/5/23,3.057780852,2.018006727,12.59000015,15.09000015,13.49058488,1.792598222,1.946227365,33.77319811,14.10999966,1.169961681,13.80000019,2.433878521,0.264720027,22.79814911,15.06999969,1.857735306,170.5511387,16.52769167,2.255275998,1.36928169,302.9487606,
1/6/23,3.057780852,2.163611591,12.57999992,15.43999958,14.08587676,1.913157395,1.946227365,33.77319811,13.86999989,1.168276598,13.47999954,2.433878521,0.264720027,23.41929626,15.18999958,1.857735306,170.5511387,16.52769167,2.255275998,1.479539308,304.2545221,
1/8/23,3.078272784,2.163611591,12.57999992,15.43999958,14.08587676,1.913157395,2.019552602,34.00580829,13.86999989,1.168276598,13.47999954,2.458431023,0.266425527,23.41929626,15.18999958,1.792318471,176.9168388,17.41117196,2.314439562,1.479539308,310.9056956,
1/9/23,3.072960323,2.133984125,13.03999996,15.72999954,13.86504631,1.842332391,1.889435144,34.2562214,13.65999985,1.173734818,13.64000034,2.464921975,0.270740536,22.43904686,15.26000023,1.852344679,177.8674982,18.04777304,2.274182255,1.465659796,311.9502409,
1/10/23,2.976623604,2.234785874,12.96000004,16.75,14.39351982,1.955025984,1.771887493,34.4687036,14.64999962,1.150904805,13.71000004,2.426725045,0.288110121,22.71079826,15.44999981,1.881789188,173.6290661,19.07191944,2.261758726,1.534355316,311.9765904,
1/11/23,2.988065584,2.271899553,13.10000038,17.54000092,14.86907553,1.953046283,1.726824205,34.5506632,15.60000038,1.194974083,13.47000027,2.437968863,0.290017282,22.13817596,15.26000023,1.892517448,176.3554017,18.28885263,2.221889758,1.52912374,314.9560453,
1/12/23,2.938624163,2.229358078,13.06999969,17.29999924,15.13035742,1.927910232,1.858264037,34.85762428,16.51000023,1.199447572,13.42000008,2.452790703,0.289761936,22.5166893,15.85000038,1.943803837,180.6778098,18.12988699,2.267537456,1.507588863,320.5593548,
1/13/23,2.938624163,2.216893368,13.30000019,16.77000046,15.00670817,1.874635584,1.858264037,34.85762428,16.38999939,1.185183586,13.55000019,2.452790703,0.289761936,22.5166893,16.29000092,1.943803837,180.6778098,18.12988699,2.267537456,1.44561023,320.4581025,
