,NTCO3.SA_px_USD,0973.HK_px_USD,COUR_px_USD,WRBY_px_USD,BFT.WA_px_USD,COCO_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,LMND_px_USD,1112.HK_px_USD,FREY.PA_px_USD,2897.TW_px_USD,CONCHATORO.SN_px_USD,LFG.AX_px_USD,AMAL_px_USD,MOVI3.SA_px_USD,ABB.AX_px_USD,VITL_px_USD,AEF.AX_px_USD,IBAB.BR_px_USD,Index,
1/2/24,3.128502233,2.79579088,19.29000092,14.89999962,506.0478987,26.18000031,12.64627661,1.454108526,17.04000092,1.540573187,28.44763447,0.321097763,1.149081908,2.760363829,26.32146645,2.254274517,2.56416152,15.43000031,3.510908135,12.42942761,603.6017264,
1/3/24,3.143716286,2.772956897,19.20000076,14.5,504.4990776,25.20999908,12.5043157,1.532301996,16.21999931,1.537066781,28.40909091,0.320057303,1.139301787,2.761351786,25.31024933,2.294388536,2.525626692,14.85999966,3.535205523,12.39073443,598.8208108,
1/4/24,3.043899548,2.746777916,18.90999985,14.28999996,506.3524561,24.96999931,11.99895006,1.490679717,16.61000061,1.506520752,28.46180371,0.319610725,1.1269026,2.816514033,25.56801033,2.252355679,2.487920868,15.38000011,3.533306728,12.39183113,600.1932444,
1/5/24,3.087922366,2.746777916,18.79999924,13.78999996,506.3524561,24.63999939,12.44691402,1.599965907,16.54999924,1.506520752,28.46180371,0.319610725,1.132517022,2.816514033,25.87534142,2.322001683,2.487920868,15.35000038,3.533306728,12.39183113,600.1534729,
1/7/24,3.087922366,2.713765095,18.79999924,13.78999996,528.5207409,24.63999939,12.44691402,1.599965907,16.54999924,1.465672853,28.44872391,0.320663756,1.132517022,2.847701536,25.87534142,2.322001683,2.505171547,15.35000038,3.418545994,12.58308942,619.2968078,
1/8/24,3.117371845,2.805319246,19.25,14.57999992,538.2188443,24.81999969,13.13622552,1.667179595,18.25,1.446531023,28.47124733,0.322812228,1.104893551,2.922330437,25.68697739,2.453546321,2.492378453,15.76000023,3.512923269,12.81206109,631.720269,
1/9/24,3.081270227,2.802025342,19.10000038,13.90999985,537.9985348,24.52000046,13.04977743,1.638610214,17.30999947,1.407075681,28.63998422,0.315999191,1.083252811,2.920470888,25.43912888,2.39065885,2.519490957,15.23999977,3.521195575,12.28677125,628.5683553,
1/10/24,3.161577942,2.787741512,19.37000084,14.10000038,544.0511924,25.46999931,13.07404364,1.677941172,17.47999954,1.446576965,28.75345098,0.310926117,1.083688873,2.962283878,25.52835464,2.307424565,2.479739887,15.52000046,3.537868818,12.291551,635.6543231,
1/11/24,3.168085046,2.871633603,19.37999916,13.93000031,554.806007,25.44000053,12.99475247,1.640253878,16.88999939,1.459547865,29.21006581,0.311969093,1.088206684,2.980787524,25.37964439,2.190426722,2.491804528,15.06999969,3.40278707,12.23308791,643.8821147,
1/12/24,3.21530298,2.871633603,19.60000038,13.76000023,554.806007,25.87999916,13.02994271,1.615094906,16.62000084,1.459547865,29.21006581,0.311969093,1.086902582,2.980787524,25.16153717,2.156893338,2.491804528,15.25,3.40278707,12.23308791,644.0582321,
1/14/24,3.21530298,2.864316387,19.60000038,13.76000023,542.74766,25.87999916,13.02994271,1.615094906,16.62000084,1.45907848,29.33305522,0.308131696,1.086902582,2.996515226,25.16153717,2.156893338,2.474800543,15.25,3.391184909,12.14913931,633.6761361,
